iter	Passed	Remaining
1085	90375	159281
1086	90468	159214
1087	90574	159170
1088	90674	159118
1089	90771	159058
1090	90868	158998
1091	90960	158931
1092	91042	158845
1093	91131	158772
1094	91216	158691
1095	91322	158648
1096	91399	158553
1097	91490	158483
1098	91577	158405
1099	91657	158318
1100	91732	158219
1101	91807	158121
1102	91900	158055
1103	91990	157983
1104	92055	157869
1105	92153	157810
1106	92242	157737
1107	92334	157668
1108	92411	157574
1109	92498	157497
1110	92582	157415
1111	92671	157341
1112	92762	157271
1113	92853	157200
1114	92947	157135
1115	93026	157044
1116	93103	156950
1117	93192	156876
1118	93266	156778
1119	93357	156706
1120	93449	156638
1121	93525	156542
1122	93624	156484
1123	93707	156402
1124	93783	156305
1125	93864	156218
1126	93952	156142
1127	94033	156055
1128	94114	155969
1129	94199	155888
1130	94287	155811
1131	94371	155728
1132	94457	155650
1133	94530	155550
1134	94624	155485
1135	94702	155392
1136	94785	155307
1137	94866	155220
1138	94951	155140
1139	95049	155080
1140	95133	154999
1141	95212	154908
1142	95297	154826
1143	95370	154726
1144	95459	154652
1145	95537	154560
1146	95613	154465
1147	95699	154386
1148	95791	154317
1149	95877	154238
1150	95950	154138
1151	96038	154061
1152	96133	153997
1153	96218	153916
1154	96311	153847
1155	96397	153769
1156	96482	153688
1157	96571	153613
1158	96664	153545
1159	96751	153467
1160	96837	153389
1161	96927	153315
1162	97005	153223
1163	97095	153151
1164	97183	153073
1165	97260	152980
1166	97340	152891
1167	97422	152806
1168	97493	152703
1169	97576	152619
1170	97637	152500
1171	97725	152425
1172	97808	152341
1173	97887	152250
1174	97977	152177
1175	98054	152084
1176	98152	152023
1177	98243	151951
1178	98324	151864
1179	98396	151763
1180	98491	151699
1181	98589	151637
1182	98681	151566
1183	98773	151497
1184	98865	151427
1185	98952	151348
1186	99035	151265
1187	99129	151198
1188	99220	151125
1189	99285	151014
1190	99367	150928
1191	99437	150824
1192	99513	150730
1193	99598	150649
1194	99675	150555
1195	99767	150486
1196	99833	150375
1197	99918	150294
1198	100001	150210
1199	100078	150118
1200	100150	150017
1201	100222	149916
1202	100303	149829
1203	100388	149748
1204	100485	149685
1205	100571	149605
1206	100660	149530
1207	100747	149452
1208	100835	149376
1209	100909	149279
1210	100993	149196
1211	101062	149091
1212	101149	149014
1213	101239	148939
1214	101324	148858
1215	101412	148783
1216	101506	148715
1217	101594	148638
1218	101689	148572
1219	101781	148500
1220	101866	148420
1221	101949	148336
1222	102027	148244
1223	102100	148146
1224	102185	148065
1225	102259	147966
1226	102327	147862
1227	102412	147781
1228	102490	147689
1229	102593	147634
1230	102696	147579
1231	102785	147503
1232	102879	147435
1233	102968	147359
1234	103064	147294
1235	103141	147202
1236	103234	147132
1237	103328	147063
1238	103426	147001
1239	103520	146931
1240	103616	146866
1241	103699	146782
1242	103774	146686
1243	103868	146617
1244	103968	146557
1245	104033	146448
1246	104117	146365
1247	104188	146264
1248	104287	146203
1249	104366	146112
1250	104455	146037
1251	104520	145928
1252	104616	145861
1253	104699	145777
1254	104784	145696
1255	104878	145627
1256	104983	145573
1257	105070	145494
1258	105155	145413
1259	105248	145343
1260	105347	145280
1261	105425	145189
1262	105489	145079
1263	105571	144993
1264	105653	144908
1265	105743	144834
1266	105839	144766
1267	105920	144679
1268	105984	144569
1269	106048	144459
1270	106117	144356
1271	106194	144263
1272	106264	144162
1273	106362	144099
1274	106441	144009
1275	106530	143933
1276	106623	143862
1277	106701	143771
1278	106773	143672
1279	106866	143601
1280	106943	143509
1281	107027	143426
1282	107128	143366
1283	107222	143297
1284	107317	143229
1285	107388	143128
1286	107478	143054
1287	107562	142971
1288	107662	142909
1289	107757	142841
1290	107846	142764
1291	107946	142703
1292	108043	142637
1293	108140	142571
1294	108210	142469
1295	108290	142381
1296	108362	142282
1297	108442	142195
1298	108521	142106
1299	108587	141999
1300	108668	141911
1301	108753	141830
1302	108837	141747
1303	108926	141671
1304	109015	141595
1305	109083	141491
1306	109165	141405
1307	109248	141321
1308	109331	141237
1309	109405	141140
1310	109490	141059
1311	109569	140970
1312	109652	140886
1313	109749	140820
1314	109847	140754
1315	109938	140681
1316	110022	140598
1317	110099	140506
1318	110195	140438
1319	110284	140361
1320	110373	140285
1321	110472	140222
1322	110563	140146
1323	110634	140047
1324	110751	140006
1325	110836	139925
1326	110909	139827
1327	110987	139737
1328	111082	139668
1329	111155	139570
1330	111245	139495
1331	111311	139390
1332	111381	139289
1333	111452	139190
1334	111520	139086
1335	111607	139007
1336	111693	138928
1337	111784	138852
1338	111857	138757
1339	111938	138669
1340	112005	138566
1341	112092	138486
1342	112195	138427
1343	112288	138355
1344	112356	138252
1345	112428	138154
1346	112508	138067
1347	112575	137963
1348	112641	137858
1349	112741	137795
1350	112829	137717
1351	112908	137627
1352	113000	137555
1353	113103	137495
1354	113188	137413
1355	113256	137310
1356	113338	137225
1357	113427	137148
1358	113518	137073
1359	113603	136992
1360	113683	136904
1361	113769	136824
1362	113842	136727
1363	113927	136645
1364	114017	136570
1365	114108	136496
1366	114198	136420
1367	114269	136321
1368	114354	136240
1369	114436	136153
1370	114526	136078
1371	114625	136012
1372	114709	135930
1373	114798	135853
1374	114874	135760
1375	114958	135677
1376	115046	135599
1377	115137	135524
1378	115222	135442
1379	115299	135351
1380	115381	135266
1381	115460	135177
1382	115553	135104
1383	115645	135031
1384	115735	134955
1385	115836	134891
1386	115928	134818
1387	116017	134740
1388	116114	134672
1389	116192	134582
1390	116279	134503
1391	116366	134423
1392	116451	134341
1393	116532	134254
1394	116621	134176
1395	116718	134108
1396	116811	134036
1397	116898	133956
1398	116989	133881
1399	117077	133802
1400	117171	133730
1401	117236	133626
1402	117321	133544
1403	117390	133443
1404	117449	133332
1405	117541	133258
1406	117628	133179
1407	117716	133099
1408	117810	133028
1409	117888	132938
1410	117976	132859
1411	118069	132786
1412	118151	132701
1413	118237	132619
1414	118303	132516
1415	118387	132433
1416	118470	132349
1417	118554	132266
1418	118617	132159
1419	118688	132061
1420	118771	131977
1421	118865	131905
1422	118951	131824
1423	119014	131718
1424	119102	131639
1425	119195	131565
1426	119286	131490
1427	119367	131405
1428	119437	131305
1429	119524	131226
1430	119626	131163
1431	119713	131082
1432	119803	131006
1433	119889	130925
1434	119978	130847
1435	120062	130764
1436	120157	130692
1437	120231	130598
1438	120328	130530
1439	120394	130427
1440	120482	130348
1441	120577	130277
1442	120665	130198
1443	120756	130122
1444	120844	130043
1445	120927	129959
1446	121017	129883
1447	121094	129791
1448	121154	129683
1449	121246	129608
1450	121340	129535
1451	121429	129457
1452	121518	129379
1453	121596	129289
1454	121690	129217
1455	121772	129132
1456	121866	129059
1457	121943	128969
1458	122020	128878
1459	122107	128798
1460	122189	128713
1461	122285	128642
1462	122379	128569
1463	122441	128463
1464	122523	128377
1465	122599	128286
1466	122667	128186
1467	122748	128099
1468	122831	128015
1469	122922	127939
1470	123001	127851
1471	123077	127759
1472	123162	127677
1473	123245	127593
1474	123333	127514
1475	123403	127416
1476	123480	127326
1477	123570	127248
1478	123657	127169
1479	123750	127095
1480	123853	127031
1481	123951	126962
1482	124043	126887
1483	124117	126794
1484	124214	126723
1485	124295	126637
1486	124386	126560
1487	124457	126464
1488	124550	126390
1489	124636	126309
1490	124716	126221
1491	124785	126123
1492	124867	126038
1493	124952	125956
1494	125029	125865
1495	125094	125763
1496	125170	125671
1497	125271	125605
1498	125349	125517
1499	125414	125414
1500	125487	125320
1501	125582	125248
1502	125665	125163
1503	125747	125078
1504	125835	124999
1505	125946	124943
1506	126033	124863
1507	126101	124763
1508	126194	124689
1509	126262	124589
1510	126337	124498
1511	126423	124416
1512	126517	124343
1513	126611	124270
1514	126726	124217
1515	126866	124188
1516	127039	124191
1517	127184	124167
1518	127315	124130
1519	127454	124100
1520	127606	124083
1521	127760	124066
1522	127916	124053
1523	128072	124038
1524	128219	124015
1525	128348	123975
1526	128466	123923
1527	128571	123859
1528	128711	123829
1529	128809	123758
1530	128912	123691
1531	129013	123623
1532	129147	123587
1533	129237	123508
1534	129312	123415
1535	129418	123352
1536	129499	123264
1537	129591	123187
1538	129670	123098
1539	129766	123025
1540	129868	122958
1541	129976	122896
1542	130067	122817
1543	130158	122739
1544	130233	122647
1545	130317	122562
1546	130440	122514
1547	130520	122426
1548	130612	122348
1549	130707	122274
1550	130785	122184
1551	130877	122107
1552	130964	122025
1553	131050	121943
1554	131125	121850
1555	131199	121755
1556	131280	121668
1557	131370	121589
1558	131449	121499
1559	131548	121429
1560	131624	121337
1561	131712	121256
1562	131815	121189
1563	131907	121111
1564	131991	121026
1565	132058	120926
1566	132169	120867
1567	132258	120787
1568	132355	120714
1569	132446	120636
1570	132570	120587
1571	132673	120520
1572	132764	120441
1573	132883	120388
1574	132988	120322
1575	133077	120242
1576	133158	120154
1577	133247	120074
1578	133341	119998
1579	133443	119930
1580	133571	119885
1581	133697	119837
1582	133793	119763
1583	133907	119705
1584	134022	119648
1585	134111	119566
1586	134207	119492
1587	134310	119425
1588	134419	119361
1589	134551	119319
1590	134675	119269
1591	134796	119216
1592	134890	119140
1593	134999	119077
1594	135115	119020
1595	135199	118934
1596	135287	118853
1597	135375	118771
1598	135481	118705
1599	135603	118652
1600	135720	118596
1601	135848	118549
1602	135962	118489
1603	136071	118426
1604	136163	118348
1605	136241	118257
1606	136317	118164
1607	136410	118086
1608	136504	118009
1609	136586	117922
1610	136648	117818
1611	136730	117730
1612	136814	117645
1613	136901	117562
1614	136993	117483
1615	137075	117396
1616	137157	117308
1617	137247	117228
1618	137337	117148
1619	137426	117066
1620	137492	116966
1621	137582	116886
1622	137669	116802
1623	137758	116721
1624	137838	116632
1625	137913	116539
1626	137999	116455
1627	138096	116380
1628	138172	116288
1629	138253	116201
1630	138341	116118
1631	138434	116040
1632	138525	115960
1633	138620	115884
1634	138694	115790
1635	138780	115706
1636	138855	115614
1637	138953	115539
1638	139051	115466
1639	139138	115382
1640	139235	115308
1641	139314	115218
1642	139404	115138
1643	139497	115059
1644	139588	114980
1645	139687	114906
1646	139776	114825
1647	139856	114736
1648	139940	114651
